,dataset,loss,seed,coverage,length,target,lr,dropout
0,boston,WS,0,0.8725490570068359,1.2699289321899414,0.9,0.0001,0.1
0,boston,WS,1,0.8235294222831726,1.102026104927063,0.9,0.01,0.1
0,boston,WS,2,0.8235294222831726,1.2025576829910278,0.9,0.01,0.2
0,boston,WS,3,0.9215686321258544,1.3216423988342283,0.9,0.05,0.1
0,boston,WS,4,0.8627451062202454,1.1248699426651,0.9,0.05,0.1
0,boston,WS,5,0.8921568989753723,1.285376787185669,0.9,0.01,0.1
0,boston,WS,6,0.8235294222831726,1.1522427797317505,0.9,0.05,0.3
0,boston,WS,7,0.843137264251709,1.2421751022338867,0.9,0.0001,0.1
0,boston,WS,8,0.8529412746429443,1.1643937826156616,0.9,0.01,0.1
0,boston,WS,9,0.8235294222831726,1.2289204597473145,0.9,0.01,0.1
